Country,Region
Afghanistan,Asia and the Pacific
Albania,Europe and North America
Algeria,Arab States
Andorra,Europe and North America
Angola,Africa
Antigua and Barbuda,Latin America and the Caribbean
Argentina,Latin America and the Caribbean
Armenia,Europe and North America
Australia,Asia and the Pacific
Austria,Europe and North America
Azerbaijan,Europe and North America
Bahrain,Arab States
Bangladesh,Asia and the Pacific
Barbados,Latin America and the Caribbean
Belarus,Europe and North America
Belgium,Europe and North America
Belize,Latin America and the Caribbean
Benin,Africa
Bolivia,Latin America and the Caribbean
Bosnia and Herzegovina,Europe and North America
Botswana,Africa
Brazil,Latin America and the Caribbean
Bulgaria,Europe and North America
Burkina Faso,Africa
Cabo Verde,Africa
Cambodia,Asia and the Pacific
Cameroon,Africa
Canada,Europe and North America
Central African Republic,Africa
Chad,Africa
Chile,Latin America and the Caribbean
China,Asia and the Pacific
Colombia,Latin America and the Caribbean
Costa Rica,Latin America and the Caribbean
Côte d'Ivoire,Africa
Croatia,Europe and North America
Cuba,Latin America and the Caribbean
Cyprus,Europe and North America
Czechia,Europe and North America
Democratic People's Republic of Korea,Asia and the Pacific
Democratic Republic of the Congo,Africa
Denmark,Europe and North America
Dominica,Latin America and the Caribbean
Dominican Republic,Latin America and the Caribbean
Ecuador,Latin America and the Caribbean
Egypt,Arab States
El Salvador,Latin America and the Caribbean
Eritrea,Africa
Estonia,Europe and North America
Ethiopia,Africa
Fiji,Asia and the Pacific
Finland,Europe and North America
France,Europe and North America
Gabon,Africa
Gambia (the),Africa
Georgia,Europe and North America
Germany,Europe and North America
Ghana,Africa
Greece,Europe and North America
Guatemala,Latin America and the Caribbean
Haiti,Latin America and the Caribbean
Holy See,Europe and North America
Honduras,Latin America and the Caribbean
Hungary,Europe and North America
Iceland,Europe and North America
India,Asia and the Pacific
Indonesia,Asia and the Pacific
Iran,Asia and the Pacific
Iraq,Arab States
Ireland,Europe and North America
Israel,Europe and North America
Italy,Europe and North America
Jamaica,Latin America and the Caribbean
Japan,Asia and the Pacific
Jerusalem,Arab States
Jordan,Arab States
Kazakhstan,Asia and the Pacific
Kenya,Africa
Kiribati,Asia and the Pacific
Kyrgyzstan,Asia and the Pacific
Lao People's Democratic Republic,Asia and the Pacific
Latvia,Europe and North America
Lebanon,Arab States
Libya,Arab States
Lithuania,Europe and North America
Luxembourg,Europe and North America
Madagascar,Africa
Malawi,Africa
Malaysia,Asia and the Pacific
Mali,Africa
Malta,Europe and North America
Marshall Islands,Asia and the Pacific
Mauritania,Arab States
Mauritius,Africa
Mexico,Latin America and the Caribbean
Micronesia,Asia and the Pacific
Mongolia,Asia and the Pacific
Montenegro,Europe and North America
Morocco,Arab States
Mozambique,Africa
Myanmar,Asia and the Pacific
Namibia,Africa
Nepal,Asia and the Pacific
Netherlands,Europe and North America
New Zealand,Asia and the Pacific
Nicaragua,Latin America and the Caribbean
Niger,Africa
Nigeria,Africa
Norway,Europe and North America
Oman,Arab States
Pakistan,Asia and the Pacific
Palau,Asia and the Pacific
Palestine,Arab States
Panama,Latin America and the Caribbean
Papua New Guinea,Asia and the Pacific
Paraguay,Latin America and the Caribbean
Peru,Latin America and the Caribbean
Philippines,Asia and the Pacific
Poland,Europe and North America
Portugal,Europe and North America
Qatar,Arab States
Republic of Korea,Asia and the Pacific
Romania,Europe and North America
Russian Federation,Europe and North America
Saint Kitts and Nevis,Latin America and the Caribbean
Saint Lucia,Latin America and the Caribbean
San Marino,Europe and North America
Saudi Arabia,Arab States
Senegal,Africa
Serbia,Europe and North America
Seychelles,Africa
Singapore,Asia and the Pacific
Slovakia,Europe and North America
Slovenia,Europe and North America
Solomon Islands,Asia and the Pacific
South Africa,Africa
Spain,Europe and North America
Sri Lanka,Asia and the Pacific
Sudan,Arab States
Suriname,Latin America and the Caribbean
Sweden,Europe and North America
Switzerland,Europe and North America
Syrian Arab Republic,Arab States
Tajikistan,Asia and the Pacific
Thailand,Asia and the Pacific
Togo,Africa
Tunisia,Arab States
Turkey,Europe and North America
Turkmenistan,Asia and the Pacific
Uganda,Africa
Ukraine,Europe and North America
United Arab Emirates,Arab States
United Kingdom of Great Britain and Northern Ireland,Europe and North America
United Republic of Tanzania,Africa
United States of America,Europe and North America
Uruguay,Latin America and the Caribbean
Uzbekistan,Asia and the Pacific
Vanuatu,Asia and the Pacific
Venezuela (Bolivarian Republic of),Latin America and the Caribbean
Viet Nam,Asia and the Pacific
Yemen,Arab States
Zimbabwe,Africa
